         0         0         1         0         0         0         2         0         3         3         3         0         3         0         5         0         0         3         3         0         7         7         7         0         0         0         8         0         9         9         0         0         0         0         0        10         0         0         0        11         0         0        12        12        12        12        12         0        13         0         0        14        14        14        14        14         0        15        15        15         0        16         0        17         0        18        18        18         0         0        19        19         0        20         0        21        21        21        21        21         0         0        22         0         0        23         0        24         0        25        25         0         0         0        25         0         0        27         0        28
         1         1         1         1         1         0         0         3         3         0         3         3         3         3         0         0         3         3         0         7         7         7         7         7         7         7         0         9         9         9         0         0        34        34         0         0        34         0        34         0        12        12         0        12        12         0        12         0         0        14        14        14        14        14         0         0        15        15        15         0        40         0        15         0         0         0         0        18        18         0         0        19         0        20        20         0        21        21        21        21         0        22        22         0         0         0         0         0         0        25        25        25        25        25        25        25        25         0         0         0
         1         0         1         1         0        43         0         3         3         0         3         0         3         3         0         3         0         3         0         0         0         7         7         0         0         7         7         0         0         9         9         0        34        34        34         0        34        34        34        34         0        12        12        12         0         0         0         0         0         0         0         0         0         0         0        45         0        15         0         0         0         0        15        15         0         0        41         0         0         0         0        19         0        20         0         0        21         0         0        21         0        22        22         0         0        47         0        48         0         0         0        25        25        25        25        25        25        25         0        49
         0         1         1         1         1         0        51         0         0         0         3         3         0         3         3         3         0         3         0         7         0         7         7         7         7         7         7         0         0         0         9         9         0        34        34        34        34         0        34         0         0         0         0        12        12        12         0        12        12         0         0        12         0        55         0         0        15        15        15        15         0        41         0        15         0         0        15        15         0         0         0         0        58         0        59         0        21        21        21        21         0        22        22        22         0         0        48        48         0        61         0        25        25        25        25        25        25        25        25         0
         0         0         1         1         1         0         0         3         3         3         3         3         3         3         3         3         3         3         0         7         7         7         7         0         0         0         0         0         0         9         9         9         9         0        34         0        34         0         0        64        64        64        64         0        12        12        12        12        12        12        12        12         0        55         0        15        15        15        15        15         0        41        15        15        15        15        15        15        15         0        41         0         0        59        59         0        21         0        21        21         0         0        22         0         0        68         0        48         0         0        25         0        25         0        25        25        25        25         0        25
         0         0         1         0         1         0        71         0         3         0         0         3         0         3         0         0         3         0         0         7         7         7         7         7         0         0         0         0         7         0         9         0         9         9         0         0         0        73         0         0        64         0        64        64         0        12         0        12         0        12        12         0        74         0        75         0         0        15        15         0        41        15        15        15         0        15         0         0         0         0        15         0        77         0         0        21         0        21         0        21        21         0         0        80         0         0        69         0         0        25        25        25         0        25        25        25        25         0         0        25
         1         1         1         1         1         0         0         3         3         0         0         3         0         3         0         0         0        86         0         7         0         0         0         7         7         7         7         7         7         0         0        87         0         0        88         0         0        73        73         0        64         0        64        64         0        12        12        12         0        12         0        74        74         0         0        90        90         0        15        15         0        15        15        15        15        15        15        15        15        15        15        15         0         0        15        15        15        21        21        21        21         0        80        80         0        69        69        69         0         0        25         0        25        25        25         0        25        25        25        25
         1         1         1         0         0        95         0         0         3         3         3         3         3         0         7         7        86        86         0         7         7         7         7         7         0         0         7         0         7         7         7         0         0        97         0        98         0         0         0        12         0         0        64         0         0        12        12         0         0        12        12         0         0         0        15         0         0        15        15        15         0        15         0         0        15         0         0        15        15        15        15        15        15        15        15        15        15         0        21         0        21        21         0        80        80         0         0        69        69        25        25         0         0         0        25         0        25         0         0        25
         1         0         1         0         0        95        95         0         3         0         0         3         0         0         7         0         0         0         0         0         7         7         7         7         0         0         7         0         0         7         7         0         0        97        97         0         0        99        12        12         0         0         0        12        12        12        12        12        12         0         0       104       104         0        15        15        15         0        15        15        15        15        15        15        15         0        15        15         0        15        15        15        15         0        15         0         0        21        21         0        21         0         0         0        80        80         0        69        25        25         0         0         0        25        25         0         0         0        25        25
         1         1         1         1         1         0         0         1         0         0         3         3         0         0         7         7         7         7         7         7         7         7         0         7         7         7         7         7         7         7         7         0       111         0         0       112         0        12        12        12         0       113       113         0         0         0        12        12        12         0        12       104         0       115         0         0        15        15        15         0         0        15        15         0        15         0        15        15         0         0        15         0        15        15         0        21        21        21         0        21        21        21        21        21         0         0        69        25        25        25        25        25        25        25        25        25        25         0        25        25
