#	X1	L1(X1)	L2(X1)
  1.98000   6.28898   2.06250
  1.99000   6.29450   2.07292
  2.00000   6.30000   2.08333
  2.01000   6.30550   2.09375
  2.02000   6.31098   2.10417
  2.03000   6.31646   2.11458
  2.04000   6.32192   2.12500
  2.05000   6.32737   2.13542
  2.06000   6.33282   2.14583
  2.07000   6.33826   2.15625
  2.08000   6.34368   2.16667
  2.09000   6.34910   2.17708
  2.10000   6.35450   2.18750
  2.11000   6.35989   2.19792
  2.12000   6.36528   2.20833
  2.13000   6.37065   2.21875
  2.14000   6.37602   2.22917
  2.15000   6.38137   2.23958
  2.16000   6.38672   2.25000
  2.17000   6.39205   2.26042
  2.18000   6.39738   2.27083
  2.19000   6.40269   2.28125
  2.20000   6.40800   2.29167
  2.21000   6.41329   2.30208
  2.22000   6.41858   2.31250
  2.23000   6.42385   2.32292
  2.24000   6.42912   2.33333
  2.25000   6.43437   2.34375
  2.26000   6.43962   2.35417
  2.27000   6.44485   2.36458
  2.28000   6.45008   2.37500
  2.29000   6.45529   2.38542
  2.30000   6.46050   2.39583
  2.31000   6.46569   2.40625
  2.32000   6.47088   2.41667
  2.33000   6.47605   2.42708
  2.34000   6.48122   2.43750
  2.35000   6.48637   2.44792
  2.36000   6.49152   2.45833
  2.37000   6.49665   2.46875
  2.38000   6.50178   2.47917
  2.39000   6.50689   2.48958
  2.40000   6.51200   2.50000
  2.41000   6.51709   2.51042
  2.42000   6.52218   2.52083
  2.43000   6.52725   2.53125
  2.44000   6.53232   2.54167
  2.45000   6.53737   2.55208
  2.46000   6.54242   2.56250
  2.47000   6.54745   2.57292
  2.48000   6.55248   2.58333
  2.49000   6.55749   2.59375
  2.50000   6.56250   2.60417
  2.51000   6.56749   2.61458
  2.52000   6.57248   2.62500
  2.53000   6.57745   2.63542
  2.54000   6.58242   2.64583
  2.55000   6.58737   2.65625
  2.56000   6.59232   2.66667
  2.57000   6.59725   2.67708
  2.58000   6.60218   2.68750
  2.59000   6.60709   2.69792
  2.60000   6.61200   2.70833
  2.61000   6.61689   2.71875
  2.62000   6.62178   2.72917
  2.63000   6.62665   2.73958
  2.64000   6.63152   2.75000
  2.65000   6.63637   2.76042
  2.66000   6.64122   2.77083
  2.67000   6.64605   2.78125
  2.68000   6.65088   2.79167
  2.69000   6.65569   2.80208
  2.70000   6.66050   2.81250
  2.71000   6.66529   2.82292
  2.72000   6.67008   2.83333
  2.73000   6.67485   2.84375
  2.74000   6.67962   2.85417
  2.75000   6.68437   2.86458
  2.76000   6.68912   2.87500
  2.77000   6.69385   2.88542
  2.78000   6.69858   2.89583
  2.79000   6.70329   2.90625
  2.80000   6.70800   2.91667
