    0    1    1    0    1    2    0    0    0    3    3    3    0    4    4    4    0    4    4    0    6    6    0    7    7    7    7    7    0    8    8    8    0    8    0    8   10    0    0    0   11   11    0   11   12    0   13   13   13    0   14   14   14   14    0   14   15   15   15   15   15    0   16   16    0   16   17   17   17    0   18   18    0    0   19    0   19   20   20   20   20   20    0   20   20   21   21    0   21    0   23   23   23   23   23    0    0   24   24   24
    1    1    1    1    1    0   26   26   26    0    3    0    0    0    4    4    4    4    4    4    0    4    4    0    7    0    7    0    8    8    8    8    8    8    8    8    0    0   28   11   11   11   11   11    0    0   13   13   13   13    0   14   14   14   14   14    0   14   15   15   15    0   16   16   16   16    0   17   17    0   18   18    0   18   18   19   19    0   19   19   19   19   20   20   20    0   21   21   21   21    0   23   23   23   23   23    0   24   24   24
    1    1    1    1    1    0   26   26   26   26    0   30    0    4    4    4    4    0    4    4    4    4    4    4    0    7    7    0    0    8    8    0    8    8    0    8    8    8    0    8    8   11    0   11    0   11   13   13   13    0   34    0   14   14    0   14   14   14    0    0   14   14    0    0    0    0   17   17    0   17   18   18   18   18   18    0   19   19   19   19   19   19    0    0   20    0    0   21    0    0   37    0   23    0    0   23   23    0    0   24
    1    0    1    1    1    1    0   26    0   26    0    0    4    4    0    0    0    0    4    4    4    4    4    4    4    0    4    0    8    8    0    8    8    8    0    8    0    8    8    8    8    0    0   11   11   11    0   13   13    0   13   14   14   14   14   14   14   14   14   14   14   14    0   41   41   41    0   17   17   17    0   17   17    0    0   19   19   19   19   19    0    0   43    0   20    0   21   21    0   21   37   37    0    0    0   23    0   23   23   23
    1    1    1    0    0    0    0   26    0   26   26   26    0    0   26    0    0    4    4    0    4    0    4    4    4    4    4    4    0    0    8    8    0    8    8    8    0    0    8    8    0    0    0   11   11   11   11    0   13   13   13    0   14   14    0    0   14   14   14   14   14   14    0   14   14    0    0   17   17   17   17   17   17    0   50    0   19    0    0   19   19   19    0   51    0    0   21   21   21   21    0    0    0    0    0   23   23   23   23   23
    1    1    1    1    1    0    1    1    0    0   26   26   26   26   26   26   26    0    4    4    4    4    4    4    4    4    4    4    4    0    0    4    4    4    4    8    8    8    8    0   53   53   11   11    0   11    0    0   13   13    0    0   14   14   14   14    0    0   14   14   14   14   14   14   14   14    0   17   17    0   17   17   17   17    0    0   19   19   19   19   19   19    0    0   54   54    0   21    0   21   21   21    0    0   55    0    0   23   23    0
    1    1    1    1    1    1    1    1    0    0   26   26   26   26   26   26   26    4    4    4    4    0    4    4    4    4    4    4    4    4    4    4    4    4    4    0    8    8    0   56    0   53    0   11   11    0    0   13   13   13   13   13    0   13    0   14   14   14    0   14   14    0    0    0   14    0    0   17   17    0   17    0   17    0   17   19   19   19   19    0   19   19    0   54   54   54    0    0   21   21    0    0    0   61    0   62   23   23    0   23
    1    1    1    0    0    0    1    1    0   26   26   26   26    0   26   26    0    4    0    0    4    4    4    4    4    0    4    4    4    0    4    4    0    0    4    0    8    0   56   56   53   53    0   11    0   11   11   11    0   13   13   13   13   13    0   14    0   14   14   14   14   14   14   14   14    0   67    0   17   17   17    0   17   17   17    0   17   17   19   19   19   19    0   54    0   54   54   54    0   21   21   21   21    0    0   23   23   23   23   23
    1    1    1    0   68    1    1    0   69    0   26   26    0   26   26    0    4    4    0    4    4    0    4    4    4    4    4    4    0    4    4    0   74    0    4    0    0   75    0    0   53    0   11   11   11   11   11   11   11    0    0   13   13   13   13    0    0    0   14   14   14   14   14    0   14    0   67   17   17    0   17   17   17   17   17   17   17   17    0   19   19    0    0    0   54   54   54   54   21   21   21    0    0    0   23   23   23   23   23    0
    1    1    1    1    0    1    0    1    0    0   26   26   26   26   26   26    0    4    4    4    4    0    0    0    4    4    4    4    0    4    4    4    0    4    4    0    0   75   75    0   53   11   11   11    0   11    0    0   11   11   11    0   13   13   13    0   13   81    0    0   14    0    0    0   14    0    0   14   14    0   14   17   17    0   17   17   17   17    0   17   17    0    0   17    0   17    0   21   21   21   21    0   83    0    0   23    0   23    0   23
