0.700 0.643
0.721 0.653
0.743 0.664
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.659
0.750 0.674
0.750 0.660
0.750 0.674
0.750 0.660
0.750 0.674
0.750 0.660
0.750 0.674
0.750 0.660
0.750 0.674
0.750 0.660
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.751 0.688
0.751 0.645
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
0.752 0.696
0.752 0.636
