# ALPHA_1 0.002
# ALPHA_2 0.001
# BETTA_1 0.004
# BETTA_2 0.001
# GAMMA_1 0.500
# GAMMA_2 0.500
# Y0 200.000
# Z0 2.000
# X_BEG 0.000
# X_END 100.000
# XDOTS_NUM 1000
# DX 0.100
  0.000 200.000   2.000
  0.100 194.271   2.021
  0.200 189.117   2.044
  0.300 184.460   2.070
  0.400 180.238   2.098
  0.501 176.395   2.128
  0.601 172.889   2.159
  0.701 169.679   2.193
  0.801 166.733   2.229
  0.901 164.023   2.267
  1.001 161.525   2.306
  1.101 159.218   2.347
  1.201 157.082   2.390
  1.301 155.102   2.435
  1.401 153.263   2.482
  1.502 151.553   2.530
  1.602 149.960   2.580
  1.702 148.475   2.632
  1.802 147.088   2.686
  1.902 145.792   2.741
  2.002 144.578   2.798
  2.102 143.442   2.858
  2.202 142.376   2.919
  2.302 141.376   2.982
  2.402 140.436   3.047
  2.503 139.553   3.114
  2.603 138.722   3.182
  2.703 137.939   3.253
  2.803 137.201   3.326
  2.903 136.506   3.401
  3.003 135.850   3.479
  3.103 135.230   3.558
  3.203 134.645   3.640
  3.303 134.091   3.723
  3.403 133.568   3.810
  3.504 133.072   3.898
  3.604 132.603   3.989
  3.704 132.159   4.082
  3.804 131.737   4.178
  3.904 131.337   4.277
  4.004 130.958   4.378
  4.104 130.597   4.482
  4.204 130.255   4.588
  4.304 129.929   4.697
  4.404 129.619   4.810
  4.505 129.325   4.925
  4.605 129.044   5.043
  4.705 128.776   5.164
  4.805 128.521   5.288
  4.905 128.277   5.415
  5.005 128.045   5.546
  5.105 127.823   5.680
  5.205 127.611   5.818
  5.305 127.407   5.958
  5.405 127.213   6.103
  5.506 127.026   6.251
  5.606 126.847   6.403
  5.706 126.676   6.559
  5.806 126.511   6.718
  5.906 126.353   6.882
  6.006 126.200   7.050
  6.106 126.053   7.221
  6.206 125.911   7.397
  6.306 125.775   7.578
  6.406 125.642   7.763
  6.507 125.515   7.952
  6.607 125.391   8.147
  6.707 125.271   8.346
  6.807 125.154   8.550
  6.907 125.041   8.759
  7.007 124.931   8.973
  7.107 124.823   9.192
  7.207 124.719   9.416
  7.307 124.616   9.646
  7.407 124.516   9.882
  7.508 124.418  10.123
  7.608 124.322  10.371
  7.708 124.227  10.624
  7.808 124.135  10.883
  7.908 124.043  11.149
  8.008 123.953  11.420
  8.108 123.864  11.699
  8.208 123.775  11.984
  8.308 123.688  12.276
  8.408 123.601  12.575
  8.509 123.515  12.881
  8.609 123.430  13.194
  8.709 123.344  13.515
  8.809 123.259  13.843
  8.909 123.175  14.179
  9.009 123.090  14.523
  9.109 123.005  14.874
  9.209 122.920  15.235
  9.309 122.835  15.603
  9.409 122.749  15.980
  9.510 122.663  16.366
  9.610 122.577  16.761
  9.710 122.490  17.165
  9.810 122.402  17.579
  9.910 122.314  18.002
 10.010 122.224  18.434
 10.110 122.134  18.877
 10.210 122.043  19.329
 10.310 121.951  19.792
 10.410 121.858  20.266
 10.511 121.763  20.750
 10.611 121.667  21.245
 10.711 121.570  21.751
 10.811 121.472  22.269
 10.911 121.372  22.798
